track_title,track_speaker,track_duration,comment_timestamp,comment_url,comment_commenter_username,comment_keyword
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,461464,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=7m41s,OpenEdmonton,Swedish
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,461464,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=7m41s,OpenEdmonton,jewler
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,461464,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=7m41s,OpenEdmonton,Chiropodist
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,419400,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=6m59s,OpenEdmonton,Downtown
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,388059,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=6m28s,OpenEdmonton,Anglican Church
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,388059,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=6m28s,OpenEdmonton,St. Peter's
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,332798,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=5m32s,OpenEdmonton,Safe
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,332798,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=5m32s,OpenEdmonton,Brownies
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,332798,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=5m32s,OpenEdmonton,snow
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,332798,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=5m32s,OpenEdmonton,stars
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,332798,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=5m32s,OpenEdmonton,big dipper
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,289085,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=4m49s,OpenEdmonton,infill
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,252795,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=4m12s,OpenEdmonton,CN
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,252795,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=4m12s,OpenEdmonton,retired
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,223917,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=3m43s,OpenEdmonton,Quarantine
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,207503,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=3m27s,OpenEdmonton,Whooping cough
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,172374,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=2m52s,OpenEdmonton,Streetcar
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,172374,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=2m52s,OpenEdmonton,Sandra
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,172374,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=2m52s,OpenEdmonton,1947
